Classification      Rider               Rider No.           Country             Team                Time (hh:mm:ss)     
1                   POGACAR             131                 Slovenia            UAD                 87:20:05
2                   ROGLIC              11                  Slovenia            TJV                 87:21:04
3                   PORTE               101                 Australia           TFS                 87:23:35
4                   LANDA               61                  Spain               TBM                 87:26:03
5                   MAS                 94                  Spain               MOV                 87:26:12
6                   ANGEL-LOPEZ         141                 Colombia            AST                 87:26:52
7                   DUMOULIN            14                  Netherlands         TJV                 87:27:53
8                   URAN                71                  Colombia            EFN                 87:28:07
9                   YATES               161                 England             MTS                 87:29:30
10                  CARUSO              63                  Italy               TBM                 87:34:08
11                  MARTIN              121                 France              COF                 87:37:03
12                  VALVERDE            91                  Spain               MOV                 87:37:46
13                  CARAPAZ             3                   Ecuador             IGD                 87:45:58
14                  BARGUIL             83                  France              ARK                 87:51:09
15                  KUSS                16                  USA                 TJV                 88:02:25
